"country","climbers","avarage_height"
"ESP",8106,175.4196636744906009
"FRA",7479,176.6745534803939209
"ITA",5347,175.8703822868329466
NULL,5060,177.3495496076188021
"USA",4621,176.4520153803264374
"DEU",3386,177.9611355648821101
"CHE",3357,177.3404139204903237
"GRC",2992,175.8817196172868837
"AUT",2927,177.9189668204446530
"SWE",2151,178.9763922977657448
"SVN",1801,177.3970329142308000
"POL",1661,176.9470395961769208
"NOR",1540,178.7665607985480944
"TUR",1522,175.7052773737793476
"THA",1449,177.8295333637330901
"ZAF",1411,177.6991068820807649
"HRV",1366,178.1078439470278902
"CAN",1245,176.2746451445386879
"GBR",1174,178.1908234643760764
"AUS",957,177.3247057219470072
"BRA",873,175.4039268916316803
"CZE",678,177.6487752802324892
"LUX",628,177.6696285194304678
"PRT",564,174.5091993451313635
"BEL",555,177.7896945674982513
"NZL",499,176.8782395627179342
"MEX",480,173.7723372553049376
"UKR",466,175.1913003077995238
"FIN",415,178.5398545116854976
"RUS",377,174.6982928172449060
"SVK",342,175.6886922864252143
"BGR",313,176.8089068825910931
"ROM",273,177.0532534391087856
"CHN",266,175.6310807257428346
"ARG",248,175.9334114430775239
"MAR",206,176.0776986951364176
"IND",185,177.9883346741753821
"HUN",171,177.8156646779868441
"LAO",137,176.5248041775456919
"MKD",112,174.2429990966576332
"CHL",109,175.1311580294305822
"VEN",108,174.4551495016611296
"JPN",105,169.7529546321006481
"PER",92,172.7184873949579832
"SRB",77,175.0611098629521456
"COL",75,171.0111870727159727
"MLT",74,176.9587628865979381
"CUB",74,176.1362799263351750
"ISR",73,175.5862433862433862
"AND",68,178.3186180422264875
"VNM",63,176.4202531645569620
"REU",59,175.3482587064676617
"ISL",56,178.3240556660039761
"IRL",49,179.5786666666666667
"MYS",44,176.7765042979942693
"NLD",42,180.7064220183486239
"ECU",42,172.3242784380305603
"HKG",40,173.9696969696969697
"DNK",40,175.2166172106824926
"IRN",35,175.4185606060606061
"BIH",35,178.3402061855670103
"MSR",34,176.9044117647058824
"MDG",33,174.6910994764397906
"NAM",32,179.4432989690721649
"ALB",30,175.0958904109589041
"KOR",30,174.9895833333333333
"TWN",26,172.9116279069767442
"FXX",24,176.2588832487309645
"JOR",20,175.7946428571428571
"SWZ",19,177.1142857142857143
"OMN",17,180.4230769230769231
"YUG",16,181.8924731182795699
"ARE",16,179.4545454545454545
"ABW",16,178.0625000000000000
"BOL",16,173.7692307692307692
"VGB",15,177.0127118644067797
"CYP",14,172.1468531468531469
"MNE",13,177.6913580246913580
"PHL",13,202.9310344827586207
"SGS",12,176.5384615384615385
"NPL",11,177.7391304347826087
"GTM",8,170.7666666666666667
"PRI",8,176.2606635071090047
"ZWE",8,174.5491329479768786
"CRI",7,167.5038759689922481
"EGY",6,148.3333333333333333
"BVT",6,177.5714285714285714
"DOM",6,169.1836734693877551
"GRL",6,181.3000000000000000
"IDN",6,171.7272727272727273
"KEN",6,180.4285714285714286
"KGZ",6,177.0000000000000000
"LBN",6,175.3636363636363636
"LIE",6,189.6250000000000000
"NCL",6,173.5384615384615385
"PAK",6,179.3333333333333333
"SLV",6,167.0000000000000000
"SOM",6,172.1666666666666667
"GEO",5,171.6000000000000000
"KNA",5,179.2000000000000000
"ETH",5,179.6206896551724138
"ARM",5,177.7391304347826087
"FJI",5,179.4000000000000000
"HND",5,173.7000000000000000
"MCO",5,172.0909090909090909
"PAN",4,178.5000000000000000
"FRO",4,184.0952380952380952
"BHS",4,175.0000000000000000
"SMR",4,175.0000000000000000
"GIB",4,177.8333333333333333
"AZE",4,174.5625000000000000
"SYC",4,180.4787234042553191
"SYR",4,177.8596491228070175
"BWA",4,169.7500000000000000
"MNP",3,173.0000000000000000
"CYM",3,178.8000000000000000
"UGA",3,175.0000000000000000
"MWI",3,177.6818181818181818
"LKA",3,172.0000000000000000
"LVA",3,175.0000000000000000
"HTI",3,175.6666666666666667
"KAZ",3,181.0000000000000000
"SGP",3,171.4000000000000000
"TMP",2,163.0000000000000000
"PRK",2,178.7500000000000000
"MTQ",2,178.3333333333333333
"NGA",2,171.7500000000000000
"YEM",2,176.0000000000000000
"CIV",2,175.0000000000000000
"LTU",2,171.4545454545454545
"SJM",2,183.5000000000000000
"SLB",2,172.5000000000000000
"GUM",2,176.7500000000000000
"CMR",2,166.0000000000000000
"CPV",2,184.2500000000000000
"ASM",2,169.5000000000000000
"SAU",2,184.0000000000000000
"KHM",2,173.0000000000000000
"GLOB",2,182.8000000000000000
"TZA",2,183.5000000000000000
"ATF",2,179.3333333333333333
"BMU",2,179.8888888888888889
"UNK",2,171.0000000000000000
"GHA",2,185.7000000000000000
"PCN",2,175.1428571428571429
"VCT",2,175.5000000000000000
"STP",1,176.0000000000000000
"MDV",1,182.0000000000000000
"KIR",1,190.0000000000000000
"MLI",1,170.0000000000000000
"MMR",1,173.0000000000000000
"JAM",1,175.0000000000000000
"IOT",1,175.0000000000000000
"MYT",1,174.0000000000000000
"GLP",1,177.0000000000000000
"GIN",1,190.0000000000000000
"ZMB",1,179.0000000000000000
"GAB",1,177.0000000000000000
"FLK",1,169.0000000000000000
"PYF",1,169.0000000000000000
"QAT",1,175.0000000000000000
"EST",1,180.0000000000000000
"SDN",1,180.0000000000000000
"DZA",1,170.0000000000000000
"SHN",1,167.0000000000000000
"SLE",1,173.0000000000000000
"SPM",1,167.0000000000000000
"DJI",1,185.0000000000000000
"LCA",1,255.0000000000000000
"SUR",1,171.0000000000000000
"TJK",1,180.0000000000000000
"TKM",1,180.0000000000000000
"TUN",1,159.0000000000000000
"BRB",1,182.0000000000000000
"BLR",1,173.0000000000000000
"URY",1,172.0000000000000000
"BGD",1,171.0000000000000000
"BFA",1,170.0000000000000000
"BDI",1,171.0000000000000000
"WSM",1,180.0000000000000000
"MAC",1,177.0000000000000000
